Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2016-08-05,575.26,580.24,564.02,572.31,29.09,16618.8745,571.291663802
2016-08-04,567.71,585.05,561.49,574.78,24.24,13846.3325,571.218337459
2016-08-03,536.08,574.01,521.51,561.7,30.61,16875.2944,551.300045737
2016-08-02,608.86,615.61,484.7,535.83,35.95,21148.5793,588.277588317
2016-08-01,626.02,629.18,606.9,607.52,23.5,14587.4284,620.741634043
2016-07-31,653.11,655.69,617.39,626.21,19.35,12300.2508,635.671875969
2016-07-30,654.01,659.9,652.51,656.99,22.01,14431.2203,655.666528851
2016-07-29,657.35,663.78,652.51,654.01,22.88,15007.4331,655.919278846
2016-07-28,657.31,660.8,652.51,657.35,22.21,14547.2968,654.98859973
2016-07-27,646.9,661.61,645.75,656.91,17.27,11270.0917,652.582032426
2016-07-26,653.05,659.05,643.39,646.2,22.19,14445.1885,650.97739973
2016-07-25,657.92,664.56,650.68,655.09,20.99,13773.857,656.21043354
2016-07-24,653.2,667.42,652.38,663.69,30.39,19954.8582,656.625804541
2016-07-23,654.46,655.49,646.54,655.49,19.76,12920.4114,653.866973684
2016-07-22,661.24,667.99,645.0,657.49,10.86,7213.9941,664.272016575
2016-07-21,671.89,671.9,659.67,665.98,25.39,16885.7044,665.053343836
2016-07-20,672.21,676.26,660.33,670.56,22.75,15252.8816,670.456334066
2016-07-19,669.99,677.41,664.54,676.26,21.32,14323.3351,671.826224203
2016-07-18,676.5,681.04,663.57,675.71,16.38,11070.2845,675.841544567
2016-07-17,659.71,684.33,659.19,681.04,24.96,16737.8463,670.586790865
2016-07-16,661.71,668.99,655.25,658.84,25.42,16865.8385,663.486959087
2016-07-15,663.71,668.98,658.01,667.53,11.57,7684.3739,664.163690579
2016-07-14,655.38,666.49,650.01,662.75,27.59,18173.223,658.688764045
2016-07-13,666.52,667.69,657.31,657.83,17.15,11378.7686,663.485049563
2016-07-12,651.82,678.18,644.24,667.9,24.84,16305.2888,656.412592593
2016-07-11,644.66,661.91,641.5,645.88,21.67,14066.8421,649.138998616
2016-07-10,650.25,653.56,638.34,652.74,24.94,16137.1639,647.039450682
2016-07-09,660.22,667.01,630.12,651.07,19.79,12865.7862,650.115522991
2016-07-08,636.41,667.58,635.13,666.44,24.67,15993.7177,648.306351844
2016-07-07,677.88,678.19,608.01,640.87,22.06,14220.2162,644.615421578
2016-07-06,665.52,682.2,665.52,677.28,29.53,19917.5293,674.484568236
2016-07-05,684.02,684.99,664.81,671.19,22.13,14889.8136,672.833872571
2016-07-04,656.6,684.75,649.19,678.39,24.39,16386.5059,671.853460435
2016-07-03,700.9,706.33,646.68,654.21,27.54,18592.8998,675.123449528
2016-07-02,672.09,706.81,672.09,699.3,19.0,13040.0959,686.320836842
2016-07-01,670.07,684.27,662.6,672.1,21.56,14557.4885,675.208186456
2016-06-30,632.68,674.36,627.83,670.67,29.44,19390.3516,658.639660326
2016-06-29,637.6,645.66,621.38,632.59,27.62,17474.1271,632.662096307
2016-06-28,656.42,661.56,633.34,642.04,20.23,13119.3531,648.509792388
2016-06-27,628.03,660.99,617.49,660.99,24.22,15481.8089,639.215891825
2016-06-26,664.82,664.82,611.37,629.04,22.73,14453.3933,635.87300044
2016-06-25,659.53,687.66,645.08,663.53,27.06,18073.2863,667.896759054
2016-06-24,595.54,669.38,595.54,664.6,20.24,13144.9431,649.453710474
2016-06-23,598.14,625.15,551.87,594.77,19.18,11236.9986,585.870625652
2016-06-22,669.99,670.0,588.53,599.03,17.95,11363.8397,633.082991643
2016-06-21,728.24,728.24,630.0,669.97,19.92,13842.0358,694.881315261
2016-06-20,764.24,765.98,724.17,729.73,29.23,21637.878,740.262675334
2016-06-19,751.97,767.6,714.5,757.02,25.24,19068.1539,755.47360935
2016-06-18,741.0,779.18,727.05,755.72,24.33,18285.4275,751.558877928
2016-06-17,764.74,780.84,721.57,743.55,34.41,25743.3324,748.135204882
2016-06-16,692.13,774.66,692.13,768.59,24.86,18443.7291,741.903825422
2016-06-15,687.24,699.43,670.0,691.42,28.73,19668.5142,684.598475461
2016-06-14,701.08,707.37,662.39,681.37,21.41,14746.4964,688.766763195
2016-06-13,660.98,714.07,656.5,706.62,39.71,27526.1557,693.179443465
2016-06-12,599.99,684.4,599.99,671.91,40.38,25506.3116,631.657048044
2016-06-11,576.01,600.73,576.01,599.99,31.55,18433.712,584.269793978
2016-06-10,573.14,579.99,570.52,578.54,27.9,16077.1669,576.242541219
2016-06-09,579.6,583.36,571.82,572.68,20.71,11969.0155,577.934113955
2016-06-08,574.47,582.47,571.27,581.56,12.99,7511.8037,578.275881447
2016-06-07,587.64,589.99,562.35,580.15,15.95,9264.9749,580.876169279
2016-06-06,575.99,587.87,572.28,586.74,23.05,13409.2042,581.74421692
2016-06-05,568.99,584.5,568.99,572.8,22.14,12727.1104,574.846901536
2016-06-04,565.47,586.45,560.3,568.86,27.24,15618.2485,573.357140235
2016-06-03,539.99,575.99,533.47,571.84,22.61,12490.2355,552.420853605
2016-06-02,534.09,542.49,532.03,539.99,22.4,12016.7137,536.460433036
2016-06-01,529.58,544.98,519.99,538.94,26.04,13897.6148,533.702565284
2016-05-31,525.07,544.99,518.42,534.76,23.11,12318.9555,533.057356123
2016-05-30,513.05,536.38,510.92,529.28,26.53,13967.3508,526.473833396
2016-05-29,515.17,540.14,502.65,510.7,29.57,15329.4137,518.411014542
2016-05-28,470.59,520.0,470.59,520.0,37.17,18335.0349,493.275084746
2016-05-27,452.07,475.0,451.78,470.85,22.86,10722.4076,469.046701662
2016-05-26,447.53,452.55,445.42,452.54,26.67,12014.1531,450.474431946
2016-05-25,443.42,448.03,443.42,446.88,21.74,9709.696,446.628150874
2016-05-24,443.97,448.58,441.19,446.72,25.19,11201.468,444.679158396
2016-05-23,439.77,443.99,436.21,443.97,27.66,12191.12,440.749096168
2016-05-22,444.55,444.55,436.36,436.36,13.99,6182.5567,441.926854896
2016-05-21,441.0,445.8,440.01,441.59,26.62,11771.4155,442.201934636
2016-05-20,436.7,445.91,436.7,440.66,24.38,10773.3208,441.891747334
2016-05-19,451.14,455.94,440.47,444.08,25.9,11635.6059,449.25119305
2016-05-18,453.51,457.65,452.1,457.19,13.73,6254.0342,455.501398398
2016-05-17,457.21,457.21,453.51,453.97,12.22,5571.2631,455.913510638
2016-05-16,456.0,458.15,455.27,458.15,16.86,7722.4067,458.03123962
2016-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-13,456.0,458.5,453.98,458.5,11.62,5300.7869,456.177874355
2016-05-12,454.0,454.5,454.0,454.5,10.6,4813.45,454.099056604
2016-05-11,456.15,458.1,456.15,458.1,6.27,2860.158,456.165550239
